,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
5147,1607950820508:6224b8f7-5c84-4d55-b69c-61764141d7ec,1607950820508:07274fcc-e80b-4db4-88e0-3505c46caff0,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5148,1607950820508:6224b8f7-5c84-4d55-b69c-61764141d7ec,1607950820508:07274fcc-e80b-4db4-88e0-3505c46caff0,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5150,1607950820508:366118ba-0b59-492a-b06a-a000050f07e8,1607950820508:ba1953b1-f379-4652-b187-e8c6eadb5747,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5151,1607950820508:366118ba-0b59-492a-b06a-a000050f07e8,1607950820508:ba1953b1-f379-4652-b187-e8c6eadb5747,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5153,1607950820508:2f44d4d2-90bf-41c7-ba54-41e13ef8799d,1607950820508:b9f05089-f4d5-4f91-875d-da3e75eb5b28,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5154,1607950820508:2f44d4d2-90bf-41c7-ba54-41e13ef8799d,1607950820508:b9f05089-f4d5-4f91-875d-da3e75eb5b28,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5155,1607950820508:2f44d4d2-90bf-41c7-ba54-41e13ef8799d,1607950820508:b9f05089-f4d5-4f91-875d-da3e75eb5b28,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5157,1607950820507:dab9208f-96ee-4e10-b1a8-2a876d591170,1607950820507:b27d4a18-1e7e-4926-8275-ac3deb33247d,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5160,1607950820507:dab9208f-96ee-4e10-b1a8-2a876d591170,1607950820507:17ca31ed-9bc1-4d7e-b55d-204ef559a811,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5161,1607950820507:dab9208f-96ee-4e10-b1a8-2a876d591170,1607950820507:17ca31ed-9bc1-4d7e-b55d-204ef559a811,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
