,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1373,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902369:43be0ead-2fb0-412e-918f-edccbbc62618,1607893902369:7965ced5-0b7a-418d-906f-d06f88777f2b
1421,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902369:23d6a9ef-ef5f-4d74-8239-235db6f067ec,1607893902369:5c6e4d61-b337-4658-9e82-704aa6e2c3af
1427,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902369:23d6a9ef-ef5f-4d74-8239-235db6f067ec,1607893902369:5922595e-d25d-4733-a422-4068ae2026f8
1621,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607893902367:5e67c125-1bb1-4a64-9883-af5d5b3320ba,1607893902367:6077e38f-bf5e-41d5-9d3e-2fa64040bb87
1704,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902366:26f40ed5-5402-4efd-aa1c-ae606c72e639,1607893902366:bf6ba519-90dd-4b3f-ad0a-90e248cdf7c1
1705,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607893902366:26f40ed5-5402-4efd-aa1c-ae606c72e639,1607893902366:bf6ba519-90dd-4b3f-ad0a-90e248cdf7c1
1768,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902365:0612c552-110a-4c82-9783-d797e04a97e8,1607893902366:e6924d43-09cd-445e-9ac5-38d657bc6323
2048,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902362:4731ea13-1f66-403e-b963-64475c61e7e8,1607893902362:23dd3f50-676a-4de0-a294-88662627d911
2161,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607893902360:6f927f17-0349-478c-bc69-2ef969161f44,1607893902360:8fc872ec-4027-488c-ab04-4e629af0c5c3
2792,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""5""",Yes,1607893902351:36681511-63e8-4b1d-b72d-111e1efd0faa,1607893902351:6e8f9270-469a-46e2-a478-cb693075624d
3345,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902343:2c53e0b3-b57b-4804-9345-10851aede2d4,1607893902343:3caa886c-e436-4b16-94e4-1d4b7af7eb44
3372,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""",Yes,1607893902342:9756a9ed-88d3-4890-b7dd-45b0e9a8ffec,1607893902342:0a598284-fd04-44c1-a140-3ce08d64389a
3427,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""5""",Yes,1607893902342:6613aea3-47d6-4557-95f5-5d8f17d7c1a7,1607893902342:4c2e6f28-dde8-4d83-949b-6438ea680ae0
3451,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902341:c3190109-70ee-450d-9bcc-83a79bba551b,1607893902341:74f18b8d-5b71-4899-be3c-e4252c74ed71
3598,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""6""",Yes,1607893902340:55258fff-c7a0-463c-b7ec-b21e28374ca6,1607893902340:d2d9cd57-abe2-4708-aba0-146752cd6f52
3599,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""6""",Yes,1607893902340:55258fff-c7a0-463c-b7ec-b21e28374ca6,1607893902340:d2d9cd57-abe2-4708-aba0-146752cd6f52
3617,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902340:55258fff-c7a0-463c-b7ec-b21e28374ca6,1607893902340:5c746b60-7925-486c-ab03-b4f06afaef1a
3731,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607893902339:5278aacb-fd99-4299-b6f7-5417d1499680,1607893902339:2e87ccb5-2322-456e-8a23-b6c554b6e8c1
3732,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607893902339:5278aacb-fd99-4299-b6f7-5417d1499680,1607893902339:2e87ccb5-2322-456e-8a23-b6c554b6e8c1
4027,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902336:813042e5-2b8f-4590-8450-bc16794516a7,1607893902336:560599d9-210f-410c-bd06-368f90c6bc08
