,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1838,1607937229754:5a02b61c-a17e-4731-9fbc-cfc47b76c636,1607937229754:1e659a59-13f3-42ab-abd5-6c1a2ab97d86,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1843,1607937229753:9a60a9c1-55da-442f-8827-c30d3bb79956,1607937229753:2be83908-fb9f-4f53-8db2-bdcc08c8b962,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1847,1607937229753:7082771d-92bc-4b89-9443-c09e0f554df7,1607937229753:5677bf2e-037b-40e6-8449-a3fead508381,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1861,1607937229751:c6560c49-a207-426f-8984-cf59be5be5d2,1607937229751:ab3d18f6-c3d0-4183-9fa5-b6d3415e596c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1863,1607937229751:8f0e7ea1-855d-41a1-955f-99e22e22754f,1607937229751:b575132a-141b-4825-87b9-af3a9a4c74c5,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1867,1607937229751:0d488d4d-c528-4796-915c-818ba71949a1,1607937229751:b7fe7ad9-567f-4707-a421-28ce9f22adbc,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1881,1607937229749:8d43a5a3-3b25-4b18-bb64-f97556df5e36,1607937229749:6249acf0-c0ed-4363-bda6-5229d3b75024,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1887,1607937229748:d48d49f7-3178-42ec-9365-6e6777a727ce,1607937229749:c16c0d6f-47ce-43ab-8dfa-58d065eef06a,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1895,1607937229748:52bc245f-789c-4e4b-be80-a698de90193f,1607937229748:6d3f7808-3192-44c3-a7e2-2890158d0217,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1903,1607937229747:50438c44-b05b-4b29-96b7-4ba5f8094690,1607937229747:80d12abc-d87b-4f25-a4f7-9bfb54a444f6,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1905,1607937229747:27c188a0-316d-423c-9a10-352c9eb31d39,1607937229747:97b31974-2d87-4e2c-b624-7ca6e1b1f7da,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1910,1607937229746:8147cbf1-bc05-43d7-bd26-2d38d48ee001,1607937229746:4dbe5ac8-1c76-4a15-b5cb-ea14cc652c0c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1943,1607937229742:b2555400-9e63-4bfc-9269-b403c2406cae,1607937229742:9a9338ae-cf09-4298-8b15-8ff7acbfc4ee,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1945,1607937229742:8a63c31e-8b9f-4d42-83f2-b14ab83f0679,1607937229742:5f876df8-150e-469c-9b55-d13369702017,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1947,1607937229742:788419a3-1bdb-4d52-b7b8-e305673dce59,1607937229742:57e7c334-e13f-4289-a923-91651ee968ad,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1949,1607937229742:3c198cba-590c-4ed5-98fd-16d5aa9e3db0,1607937229742:da3ca52e-47a8-4d0d-a7bf-65026dfc6f5a,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1951,1607937229742:28de7027-dd9b-4747-b729-8a6e79874500,1607937229742:5a8d0f97-b96f-45ff-8048-94eb1b60c0d9,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1953,1607937229742:0767b40d-985c-462f-952e-f8f57cd89271,1607937229742:23c30fbf-74ac-4fbf-ac23-e1a75bf4b480,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1962,1607937229741:5ed651d2-3341-457e-b28f-b7feee9d2310,1607937229741:9e7c166d-addb-4816-a158-ad944c28fc44,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1974,1607937229739:b5fe2c2a-87b9-499f-a7f1-0854386e5389,1607937229739:dd75306f-e377-4473-9a7f-76375e2ab337,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1977,1607937229738:62850672-5480-4f20-bf95-c7f2f24fb63d,1607937229738:f691bdd0-20da-4714-aa38-83a14e9e44f2,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1982,1607937229737:b2f0b58a-d7c4-404f-b5c1-41a36850b3f8,1607937229737:7e32937a-94ef-4f1a-9c8d-03cdfe9627f0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
