,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
689,1607938096683:63e1e303-bc2b-4a2a-b5f5-988a80a1bb08,1607938096683:f05ba953-6d5b-47c5-8848-c3cf47eb2ffd,0,True,EmptyObject,none,none,clear,No
695,1607938096682:ce7ba8e3-918a-45da-b03e-de0834e05a7a,1607938096682:dec49420-4d28-416e-a29f-2342040c58eb,0,True,EmptyObject,none,none,clear,No
698,1607938096682:6f6da893-ae48-43aa-a5b7-f777364e6300,1607938096682:3a7c10cd-d337-4025-9f32-96b5df50afa9,0,True,EmptyObject,none,none,clear,No
709,1607938096680:ffa05739-9326-407d-890a-03aeb3a37503,1607938096680:482f7811-e6bb-4968-9c61-17f819a9dbca,0,True,EmptyObject,none,none,clear,No
711,1607938096680:f4f1d51a-365e-417e-b68b-628918e01a76,1607938096680:ba53ca0e-1794-4785-8dec-b12596edf284,0,True,EmptyObject,none,none,clear,No
725,1607938096679:20dbb9ab-3ea2-420e-88b6-88efb7f01521,1607938096679:e1c2c6ca-cc8c-4dba-aa79-4c7f0d1b51b4,0,True,EmptyObject,none,none,clear,No
735,1607938096678:484a01f8-c1c7-40f9-9324-4995edd7a845,1607938096678:7216b0a8-4ee6-4d7c-b6d5-881d27e56af2,0,True,EmptyObject,none,none,clear,No
747,1607938096677:810f969e-4aa0-44b7-bcfd-d299732a10d4,1607938096677:16cec1ad-741f-4431-988a-532096343232,0,True,EmptyObject,none,none,clear,No
749,1607938096677:7ff2aaab-b728-4c4e-ba2d-bf7c92528124,1607938096677:58961cce-df6b-4a51-84ac-cbdf1323b5d7,0,True,EmptyObject,none,none,clear,No
753,1607938096676:ec7b7228-a8e0-4f33-9e1b-448fa5219c43,1607938096676:46d8e009-20f4-4b23-8a83-880099fc5e89,0,True,EmptyObject,none,none,clear,No
763,1607938096675:c585210a-5752-4417-b1a9-ae2ad91855a4,1607938096675:6ea9c99b-c779-416c-ba87-8d9a701423f8,0,True,EmptyObject,none,none,clear,No
765,1607938096675:a82237eb-a4c9-4e5c-9cd9-7d0a05dc711e,1607938096675:4f4fccf2-de21-452d-b13f-e42e7df37648,0,True,EmptyObject,none,none,clear,No
773,1607938096675:20a0f88d-6ef8-43cc-a12c-95746c6a43e7,1607938096675:0b0f3a92-3e60-4c5c-b4f2-56f8b94f1cd1,0,True,EmptyObject,none,none,clear,No
784,1607938096674:0c18c8d5-c106-4092-a31c-11d9359c016b,1607938096674:6ed49c3c-2e41-48d2-bd59-3c15eeca6648,0,True,EmptyObject,none,none,clear,No
794,1607938096673:6b91f658-da2c-4f06-9ea2-008c3fe77b41,1607938096673:34af52a9-fa28-4166-a3c1-f0f1ea682020,0,True,EmptyObject,none,none,clear,No
801,1607938096672:6b7ad70e-88aa-46fb-b6d2-f402d4a36f31,1607938096672:c0fb12cd-0517-48fe-b316-fd53995f079a,0,True,EmptyObject,none,none,clear,No
803,1607938096672:5ab7dfba-7fc8-48cb-b076-e49b1c41f9c1,1607938096672:b6ab031b-6798-4092-8a4c-65c7b71b3c5b,0,True,EmptyObject,none,none,clear,No
